id,no_farmacia,ds_endereco_farmacia,no_cidade,uf
15265,FARMACIA S J LTDA - ME,AV JOAO PESSOA 216 LOJA 02,SAO LUIS,MA
15266,SAN VIT DROGARIA LTDA,"PRINCESA IZABEL, Nº 21 LOJA 02",ARARUAMA,RJ
15267,DROGACENTER LTDA,"AV JOAO XXIII, 2220 - SALA B",TERESINA,PI
15268,DMG DROGARIA LTDA - EPP,Comercial BERNARDO GUIMARAES 270 loja A,SANTA LUZIA,MG
15269,RODRIGO DE FREITAS CAETANO & CIA LTDA - ME,"RUA SAO PAULO, 1489",VOTUPORANGA,SP
15270,CARDOSO & FASOLI DROGARIA LTDA - ME,AV. 15 DE NOVEMBRO 1810,MATAO,SP
15271,DROGARIA MIG MATAO LTDA - EPP,"AVENIDA EMILIO BOSCO, Nº 274",SUMARE,SP
15272,FARMACIA NOSSA SENHORA DA ABADIA LTDA,"RUA TARCILA DE LIMA, 107, QD10 LT 07",JARAGUA,GO
15273,FARMACIA ITOUPAVAZINHA LTDA - ME,Rua Frederico Jensen 3194 Sala 1,BLUMENAU,SC
15274,FARMACIA E DROGARIA SUCUPIRA FARMACOS LTDA,"AV. JOSE CARNEIRO DE MENDONCA, 2217",COROMANDEL,MG
15275,V. BARBOSA DROGARIA - ME,rua PARANA 951,JACAREZINHO,PR
15276,DROGARIA JP DENARDI LTDA - ME,"COMERCIAL DR.BENEDITO ARMANDO TEIXEIRA PAES, 80",SANTA RITA DO PASSA QUATRO,SP
15277,NEX DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS LTDA,"AVENIDA CONSELHEIRO AGUIAR, 4817",RECIFE,PE
15278,IRAN VIEIRA CUNHA - ME,"AVENIDA MANOEL MESSIAS, 18",MIRANTE,BA
15279,SMR MEDICAMENTOS E PERFUMARIA LTDA,"BERENICE MAGALHAES PINTO, 228, LOJA 02",IGARAPE,MG
15280,FARMACIA IRMAOS PAVESI LTDA. - EPP,Rua CARLOS PIOLI 875,CURITIBA,PR
15281,A. DE ARAUJO - FARMACIA - EPP,"AVENIDA CRUZ DE MALTA, 1850 - SL 1 E 2",CHARQUEADAS,RS
15282,H. S. VIANA - MEDICAMENTOS - ME,AVENIDA RIO BRANCO 15,VILA NOVA DOS MARTIRIOS,MA
15283,MA CONDE DROGARIA LTDA - EPP,"RUA TREZE DE MAIO, 400",AMPARO,SP
15284,HPC COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - ME,"RUA QUINZE DE NOVEMBRO, 2650",CATANDUVA,SP
15285,ROSELI DE OLIVEIRA DOS SANTOS & CIA LTDA - ME,"CASA PREFEITO CARLIRIO GOMES DOS SANTOS, 453",SANTA AMELIA,PR
15286,LUANA DE FREITAS MOREIRA - ME,"setor C.A.ARNIQUEIRA CHACARA 89-1, LOTE 01A, L 01",BRASILIA,DF
15287,MONICA MARTINS DA SILVA - ME,r GETULIO VARGAS 319,ARACOIABA,CE
15288,DROGARIA LUIS E OTAVIO LTDA - EPP,"AVENIDA AFONSO PENA, 779",CENTRALINA,MG
15289,CERETTA FARMACIA E MANIPULACAO LTDA - ME,RUA ALMIRANTE BARROSO 383,NOVA PALMA,RS
15290,DROGARIA ASSIS E MOULIM LTDA ME,"AV 13 DE MAIO, Nº 512",PANCAS,ES
15291,DROGARIA COSTA & ROMANO LTDA - ME,"Rua José Rodrigues de Camargo, 114",TABATINGA,SP
15292,FARMACIA NOSSA SENHORA D'AJUDA LTDA,RUA THOMAS DE AQUINO Nº 118,ITAJUIPE,BA
15293,DROGARIA ESPECIAL MATRIZ DE SAO JOAO DE MERITI LTDA - ME,"Rua DA MATRIZ, 315",SAO JOAO DE MERITI,RJ
15294,JOICE AZAMBUJA FLORISBAL - ME,"RUA HONORIO FLORISBAL, 350 -  SALA 102",ENCRUZILHADA DO SUL,RS
15295,SANTANA SA DROGARIA FARMACIAS,AV GETULIO VARGAS 1543 TERREO,CAMACARI,BA
15296,FERNANDES LARANJEIRA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - ME,"COMERCIAL GETULIO VARGAS, 346 A",GUANAMBI,BA
15297,M.X.M. DRUGSTORE E PERFUMARIA LTDA - ME,Avenida MAGENTA 581,BELO HORIZONTE,MG
15298,M S MOREIRA DA SILVA ME,"RUA BENJAMIN CONSTANT, 48",MACAU,RN
15299,RODRIGO SANTOS & CIA LTDA - EPP,"RUA ANTONIO JOSE BASTOS, 07 - LOJA",CARIRA,SE
15300,SABRINA STEIN,"RUA EXPEDICIONARIO ALMEIDA, 633",SAO PEDRO DO SUL,RS
15301,WILZA CHAVES M. COSTA & CIA LTDA,"RUA 45, 1051, SALA COMERCIAL",ITAPURANGA,GO
15302,WANDERLEI NASCIMENTO - ME,"AV BRASILIA S/N, Galeria Italia Bl 06",CUIABA,MT
15303,GALVAO & PFAHL LTDA - ME,"AVENIDA NOVE DE JULHO, 188",GUAICARA,SP
15304,DROGARIA FARMAFE LTDA - ME,"RUA ALBERTO BINS, 205",SAPIRANGA,RS
15305,GRAVINA & GRAVINA DROGARIA E PERFUMARIA LTDA,MARECHAL FLORIANO PEIXOTO,ANTONIO DIAS,MG
15306,L. C. VAREJISTA DE CEREAIS LTDA,"GOVERNADOR TEOTONIO FERREIRA DE ARAUJO, 101",CAMPOS DOS GOYTACAZES,RJ
15307,KEDEMAH CONFESSOR DE SOUSA - ME,"AV.PRES GETULIO VARGAS, 747, CASA",SAO JOSE DO CAMPESTRE,RN
15308,REDE ERVA DOCE LTDA,"AVENIDA GOVERNADOR VALADARES, 629",UNAI,MG
15309,SANTANA SA DROGARIA FARMACIAS,"AVENIDA LAURO DE FREITAS, 133",VITORIA DA CONQUISTA,BA
15310,DROGARIA E PERFUMARIA MOREIRA E SCHAPER LTDA - ME,rua MARIA AMELIA MAIA 550 loja A,BELO HORIZONTE,MG
15311,ALAGOINHAS PRODUTOS FARMACEUTICOS LTDA,"PCA J J SEABRA, 51, CASA",ALAGOINHAS,BA
15312,M Z COMERCIO DE MEDICAMENTOS LTDA ME,"AVENIDA POSTO AGROPECUARIO, 298",FORMOSA,GO
15313,EDILAINE APARECIDA VELLINI MOREIRA & CIA LTDA-ME,"AV. COLONIZADOR JOSE BIANCHINI, 1125",MARCELANDIA,MT
15314,CIBELE SERAFIM VARGAS - ME,"RAUA JOAO PIO DUARTE SILVA, 1231",FLORIANOPOLIS,SC
15315,CLARICE BERNARDES DA ROCHA CORREA - ME,RUA DUQUE DE CAXIAS 560,PARAISOPOLIS,MG
15316,MULTFARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA - EPP,"RUA CORONEL ESTEVAM DE MOURA, 214",SAO GONCALO DO AMARANTE,RN
15317,SANTANA SA DROGARIA FARMACIAS,"PC AUGUSTO DE CARVALHO, 205",ITAPETINGA,BA
15318,G SILVA SAMPAIO,"PRAÇA RUY BARBOSA, 80",BOA VISTA DO TUPIM,BA
15319,FRAN FARMA COMERCIO DE MEDICAMENTOS LTDA,"5, 862",SANTA VITORIA,MG
15320,DEFENDI - FARMACIA E MANIPULACAO LTDA - EPP,"avenida PANAMA, 340",IVINHEMA,MS
15321,J R MENEZES & CIA ME,"RUA PADRE ARTUR CAVALCANTE, 39",MONTEIRO,PB
15322,NUNES DE CARVALHO E SILVA LTDA,"AV. PRESIDENTE VARGAS, 644",CACHOEIRA ALTA,GO
15323,DROGARIA ECONOMICA LTDA - ME,QD A4 MC LT 03 LOJ 1 a,PLANALTINA,GO
15324,DROGARIA VENDA NOVA LTDA - EPP,RUA IRACI JOSE DA SILVA 225,BELO HORIZONTE,MG
15325,DROGARIA COLOMBO DE OCAUCU LTDA,"AVENIDA CELESTE CASAGRANDE, 310",OCAUCU,SP
15326,FARMACIA FAMILIA REVIVE LTDA,"av GENESIO PEREIRA VILELA, 02, loja c",JAPERI,RJ
15327,NEVES & VIAL LTDA,"RUA ALEXANDRE ROGLIO, 827, TERREO",QUERENCIA DO NORTE,PR
15328,VALDIMAR BARBOSA DE LISBOA,"AV GETULIO VARGAS, 206",SAO JOAO DA PONTE,MG
15329,MARCELA VANTINI SILVESTRE - ME,"RUA QUATRO, 200",ITIRAPINA,SP
15330,DROGARIA POPULAR LTDA,"LOJA SAO JOSE, 177, LOJA 02",NOVA SERRANA,MG
15331,MAZIERO E SANCHEZ DROGARIA LTDA. -ME,"BARAO DO RIO BRANCO, 425, COMERCIAL",BRAUNA,SP
15332,DANIEL T. SOUZA DROGARIA,"RUA DOS EUCALITPOS, 8",CAMANDUCAIA,MG
15333,SEBASTIÃO PEREIRA MARCONDES & CIA LTDA,"RUA RIO GRANDE DO SUL, Nº 1681",SIQUEIRA CAMPOS,PR
15334,STUDZINSKI E SILVA LTDA,"AV GEN. FLORES DA CUNHA, 681",SEBERI,RS
15335,A.G.F. FARMACIA LTDA - ME,RUA RODRIGUES ALVES 214,NOVA EUROPA,SP
15336,MARIA GORETTE DO NASCIMENTO SILVA ME,"COMERCIAL ALBERTO OLIVEIRA, 118",BONITO,PE
15337,CARLOS A.DOS SANTOS FARMACIA - EPP,"Rua PRESIDENTE VARGAS, 321",ITAMBARACA,PR
15338,TATIANA BONFADA,"RUA CORONEL JOAO LEITAO, 1025",CACHOEIRA DO SUL,RS
15339,LUCIO SCHWANCK GUASSELLI,"AVENIDA CENTRAL, 255",DOM PEDRO DE ALCANTARA,RS
15340,FARMACIA SANTO ESTEVAO LTDA - EPP,"PCA 7 DE SETEMBRO, 402 - LOJA",SANTO ESTEVAO,BA
15341,PROFAL COMERCIAL DE PRODUTOS FARMACEUTICOS LTDA ME,"R. BRAZ DO AMARAL, 123, TERREO",VALENTE,BA
15342,A P G VIUDES - EPP,"RUA AMIM JOSE, 371",CASSILANDIA,MS
15343,DROGARIA E FARMACIA MAGALHAES E BORBA LTDA - ME,"RUA VICTOR ZIMMERMAN, 143 - SALA 02",BALNEARIO PICARRAS,SC
15344,CARLOS EDUARDO GHENO & CIA LTDA,"Rua DR. CAMPOS, 481",ANTA GORDA,RS
15345,DROGARIA PAGOTTO E GARABELLI LTDA ME,"RUA VILA VELHA , 23",CARIACICA,ES
15346,FARMACIA E DROGARIA N4 LTDA - ME,rua PERIMETRAL TANCREDO DE ALMEIDA NEVES 3086,CAMPO MOURAO,PR
15347,MARIA ODIVA RIBAS TERRA DIAS - ME,RUA 29 DE ABRIL 55,SAO MIGUEL DAS MISSOES,RS
15348,JS CARNEIRO FARMACIA,"FLAMENGO, 202",ITAPITANGA,BA
15349,DROGARIA PRECO JUSTO LTDA - ME,RUA RESENDE COSTA 632,HELIODORA,MG
15350,LUCIANO JOSE MARTINS - ME,"RUA ANNA MATTOS, 147 - COMERCIO",ITARANA,ES
15351,DROGARIA BENATI LTDA - ME,"AVENIDA 25 DE AGOSTO,  7110",ROLIM DE MOURA,RO
15352,KAREN DAIANE FACHINI - ME,"Rua Antonio Vicente de Melo, 1242",GUARANI DOESTE,SP
15353,DROGARIA TRES AMIGOS LTDA - EPP,avenida PRESIDENTE GETULIO VARGAS 4320,ALVORADA,RS
15354,DROGARIA ELDIMACIA LUCENA E EDNA LUCENA LTDA,"JOSE MARQUES CALDEIRA, 172",ENGENHEIRO NAVARRO,MG
15355,MAIFAR COMERCIO DE MEDICAMENTOS LTDA - ME,AVENIDA LEONARDO VILLAS BOAS 2386,BOTUCATU,SP
15356,RESENDE & RESENDE LTDA,"RUA ANTONIO MOREIRA BARROS, 15, LJ D",TEIXEIRAS,MG
15357,NATUS FARMA COMERCIO DE MEDICAMENTOS LTDA - ME,"RUA JOSE JACINTO PEREIRA, 98",AREADO,MG
15358,DROGARIA E PERFUMARIA LIAMEDIC LTDA,"RUA ABILIO MACHADO, 2010 - LOJA 2",BELO HORIZONTE,MG
15359,ECHAPORA COMERCIO DE MEDICAMENTOS LTDA - ME,"RUA BRASIL, 312",ECHAPORA,SP
15360,FARMACIA INTEGRACAO LTDA,"AVENIDA HIGIENOPOLIS, 1484",LONDRINA,PR
15361,DROGARIA JGW LTDA,"PLACIDO MOTTIN, 1766, LOJA 1",VIAMAO,RS
15362,R F FARMA LTDA - ME,"RUA SANTA CRUZ, 198 - SALAS 01 E 02",BRUSQUE,SC
15363,DROGARIA LAPLANCE LTDA,"AV DOM HELDER CAMARA, 5099",RIO DE JANEIRO,RJ
15364,JUNQUEIRA & JUNQUEIRA LTDA - ME,"Rua 28 DE DEZEMBRO, 412",TABAI,RS
15365,FARMACIA ESTACAO PRIMAVERA LTDA - ME,"RUA DR. JOSE LISBOA JUNIOR, 125 - A",PIRATININGA,SP
15366,FRANCOSO & SILVA DROGARIA LTDA - ME,"PRAÇA ARTHUR PAGNOZZI, 129",DRACENA,SP
15367,MARIA DEOLINDA ZORE PEREIRA DOS SANTOS & CIA LTDA - ME,"GOFFREDO TEIXEIRA DA SILVA TELLES, 1411",ARARAS,SP
15368,W. J. MEDICAMENTOS LTDA.,"AVENIDA ARAGUAIA,  S/N - QUADRA 08 LOTE 06",SANTA FE DE GOIAS,GO
15369,H S PRODUTOS FARMACEUTICOS LTDA - ME,"RUA ALBERTO DE ANDRADE SIMOES, 0",RIO DE JANEIRO,RJ
15370,LUCIANO APARECIDO ESTEVAO MEDICAMENTOS,"RUA AMAZONAS, 3.558",VOTUPORANGA,SP
15371,NOVAMARYS - COMERCIO DE MEDICAMENTOS LTDA - ME,"AVENIDA PADRE MONTE, 974 - QD 13 LT 11",GOIANIA,GO
15372,DROGARIA DROGAFUJI LTDA,"SETOR EQNO 04/06 BLOCO A LOTE, 03",BRASILIA,DF
15373,FARMACIA SAUDE VITAL LTDA - ME,"RUA DOM PEDRO, 59",BRACO DO TROMBUDO,SC
15374,JUFER SANTOS SILVA LTDA - ME,"RUA BRAZ RODRIGUES DE SOUZA, 140 - LOTEAMENTO",HORTOLANDIA,SP
15375,LOUREN FARMA DROGARIA LTDA - ME,"RUA ENORA, 104 - CONJ AREAL",RIO DE JANEIRO,RJ
15376,IEDA VALERIA XAVIER MEDICAMENTOS - ME,RUA RUA LUIZ MARINHO FALCAO,TIMBAUBA,PE
15377,MICHELE MARIA COMERCIO DE MEDICAMENTOS LTDA - ME,RUA CELSO RAMOS,IMBUIA,SC
15378,AURINEIDE F. DE PAIVA - ME,"RUA CEL. AGRIPIO TEODORO SOARES, 149",RERIUTABA,CE
15379,DROGARIA SANTE FARMA LTDA,"RUA CONSELHEIRO ANTONIO GUERRA, Nº 55",BOM DESPACHO,MG
15380,NETO VELANES LTDA,AV CINQUENTENARIO Nº 166,ITABUNA,BA
15381,DROGARIA BENFICA HUEBRA LTDA - ME,"AVENIDA ALVARO MOREIRA DA SILVA, 684",DURANDE,MG
15382,FARMACIA DO PEDRINHO LTDA - ME,"R. BORGES DE MEDEIROS, Nº 390 SALA 101",SANTA ROSA,RS
15383,FARMACIA HARADA DEMIZU LTDA,"RUA MANOEL RIBAS, 2365",PARANAVAI,PR
15384,PAULO FLAVIO F. MONTEIRO & CIA LTDA,PCA FREI MATIAS DE GENOVA 280,SANTANA DO ITARARE,PR
15385,DROGARIA 2 GAROTOS LTDA - ME,"AVENIDA MASCARENHAS DE MORAES, 3589 - SALA 01",CAMPO GRANDE,MS
15386,FRANCICARLA LIMEIRA ANDRIOLA - ME,"RUA PADRE JOSE TOMAZ, 366",CAJAZEIRAS,PB
15387,FARMACIA MEDFAR CRISSIUMAL LTDA - EPP,"RUA HORIZONTINA, 619 - PREDIO",CRISSIUMAL,RS
15388,DROGARIA CANTO DA SAUDE LTDA,AVENIDA VISCONDE DO RIO BRANCO LOJAS 31 E 32,NITEROI,RJ
15389,MARTINS & FERNANDES - COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - ME,"RUA SAO SEBASTIAO, SN - Qd.01 Lt.01",APARECIDA DE GOIANIA,GO
15390,MARINEZ FURLIN - ME,av SALVADOR 907,TUPANDI,RS
15391,MARIA JULIA BITTENCOURT DE MORAES - FARMACIA,"AV. INTERVENTOR MANOEL RIBAS, 487",SANTA AMELIA,PR
15392,DROGARIA LARA E SILVA LTDA - ME,"RUA REFINARIA UNIAO, 164",CONTAGEM,MG
15393,UNYRIOS COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,"AV BERNARDO SAYAO, 2013",GOIANIA,GO
15394,RGL DROGARIA LTDA - ME,"PRAÇA GOVERNADOR VALADARES, 443",ARAXA,MG
15395,J. GARCIA - FARMACIA,"VISCONDE CHARLES DE LAGUICHE,SN, ao lado da valdaR",CANDIDO DE ABREU,PR
15396,SENNAFARMA DROGARIA LTDA ME,"AVENIDA JUVENAL LAMARTINE, 1",MONTE ALEGRE,RN
15397,KV COMERCIO DE MEDICAMENTOS LTDA - ME,"RUA BENEDITO TESTA, 65",FAGUNDES VARELA,RS
15398,F & S COMERCIO DE MEDICAMENTOS LTDA - ME,avenida 20 DE AGOSTO 1945,CATALAO,GO
15399,DROGARIA ATUAL DE ITAGUAI LTDA - EPP,"RUA GENERAL BOCAIUVA, 07",ITAGUAI,RJ
15400,DROGARIA GONCALVES CRUZEIRO LTDA - EPP,"QUADRA SAMAMBAIA NORTE, QR 406, CONJUNTO 30, 01 - LOJA 01",BRASILIA,DF
15401,DROGARIA RAINHA DE NILOPOLIS LTDA - EPP,"ETR. DOUTOR MANUEL REIS, Nº 721 - LOJA",NILOPOLIS,RJ
15402,ODIMAR GUIMARAES DE SOUZA - ME,R OSORIO JUNQUEIRA 900,CASTILHO,SP
15403,DILNEY FERNANDES JUNIOR - ME,"AV. 7 DE SETEMBRO, S/N",TREZE DE MAIO,SC
15404,FARMACIA E MANIPULACAO FARMADOM LTDA ME,"BOTUVERA, 222, SALA 102",BRUSQUE,SC
15405,LEONARDO LOPES MOREIRA - ME,R DUQUE DE CAXIAS 3245 SALAO,SANTA MARIA,RS
15406,DROGARIA E DENTAL ALQUIMIA LTDA,"RUA DAS FLORES, 477",CAPELINHA,MG
15407,PAMPLONA & TAVARES LTDA - ME,"AVENIDA ARAGUAIA, SN - QD04 LT14",ARAGUACU,TO
15408,SANDRA MARA MANFREDI CHMIEL ME,"BUENOS AIRES, S/N TERREO",ESPIGAO ALTO DO IGUACU,PR
15409,DROGARIA ALIANCA DE BORBOREMA LTDA - ME,"RUA QUINTINO BOCAIUVA, 712",BORBOREMA,SP
15410,SANTANA SA DROGARIA FARMACIAS,"R DAS GAIVOTAS, Nº 196, ED IMBUI CENTER 7,8,9",SALVADOR,BA
15411,F. S. SILVA DROGARIA,"PRAÇA CEL. MARCOLINO MASCARENHAS, 274 - TERREO",RIACHAO DO JACUIPE,BA
15412,UBALDINO DE ALMEIDA SANTOS - ME,Rua EUMERINDO DANTAS 90,IGUAI,BA
15413,GERALDO SERGIO A. PEREIRA - DROGARIA COMERCIAL - EPP,"RUA DA RESSURREICAO, 196",BELO HORIZONTE,MG
15414,F. DE S. ARAUJO,"AVENIDA AUGUSTO TEIXEIRA, 2100",CODO,MA
15415,MARCELO TORRES FARMACIA - EPP,Avenida JULIA MARTINS DOMINGUES 1026,VOTORANTIM,SP
15416,EMPREENDIMENTOS GLOBO LTDA,"RUA JOAO PESSOA, 159",NATAL,RN
15417,DALVA MACHADO COMERCIO DE PRODUTOS FARMACEUTICOS - ME,"AVENIDA PRESIDENTE VARGAS, 126",MATELANDIA,PR
15418,LIMA REZENDE COMERCIO DE MEDICAMENTOS LTDA - EPP,"RUA PRUDENTE DE MORAIS, 1130",UBERABA,MG
15419,FARMACIA BETARAS LTDA - ME,"AV. PARANAGUA, Nª 6034 - cx postal 6099",MATINHOS,PR
15420,E FARMACIA REAL - DROGARIA E PERFUMARIA,"SALÃO - MARIO ANDREAZZA, 30",ESPLANADA,BA
15421,M I GUIMARAES DA CUNHA E CIA LTDA ME,"RUA SERVULO PEREIRA, Nº 67",CERRO CORA,RN
15422,VICENTINI MEDICAMENTOS LTDA - ME,"AVENIDA JOSUE DE QUEIROZ, 727",SAO JOAO DEL REI,MG
15423,SILVESTRE & SILVESTRE FARMA LTDA - ME,"RUA PARANA, 931",CRUZEIRO DO OESTE,PR
15424,SANTOS DROGARIA E PERFUMARIA LTDA,"AV. BRASILIA, 2266, LETRA A",CORONEL FABRICIANO,MG
15425,DROGARIA CARLOS & LARA LTDA - ME,quadra QN 305 CONJUNTO 01 LOTE 02 LOJA 01,BRASILIA,DF
15426,PEDRO HENRIQUE CORREA GROSSI,"FRANCISCO TEOTONIO DE CASTRO, 155, LOJA 02",SANTO ANTONIO DO MONTE,MG
15427,GIBELLI & MARQUES DROGARIA LTDA - ME,"RUA MARECHAL DEODORO, Nº 1228",FRANCA,SP
15428,GOLD PHARMA DROGARIA LTDA - EPP,"RUA SAO VICENTE DE PAULA, 511A",RIO DAS PEDRAS,SP
15429,DROGARIA PORTAL FARMA LTDA,"AV MONSENHOR EDUARDO, 2083",UBERLANDIA,MG
15430,DROGARIA TIAOZINHO LTDA - ME,"RUA DIREITA, 224",FRANCISCO BADARO,MG
15431,ANA EDNEIDE DE LIRA ME,AV DR SILVIO BEZERRA DE MELO 405,LAGOA NOVA,RN
15432,DROGARIA DORNELLES LTDA-ME,AYRTON SENNA 1000,PARNAMIRIM,RN
15433,GARIBALDI & MAURO LTDA - ME,AVENIDA DISTRITO FEDERAL 1005 SALA 05 PAVIMENTO SUBSOLO,PARANAVAI,PR
15434,DROGARIAS SHALLOM FARMACEUTICA LTDA - ME,AV ABSAY TEIXEIRA 1820,GOIANIA,GO
15435,RMVELOSO DISTRIBUIDORA DE MEDICAMENTOS LTDA,"RUA VANESSA BRAZ MEIRELES , 1, QD 9 LT 15 LJ 1",LUZIANIA,GO
15436,DROGARIA DROGACENTER LTDA,"AV. VALE DO SOL, SN, qd 55 lt 14 loja 01",ANAPOLIS,GO
15437,ROSECLER LAURENTINO COVOLO RODRIGUES - ME,AV RIO BRANCO 3,GUARARAPES,SP
15438,FARMACIA FURLANI LTDA,"RUA JOHANN OHF, 1020, SALA 02",BLUMENAU,SC
15439,SB ATIVA DROGARIA LTDA - ME,"AVENIDA JOAQUIM DA COSTA LIMA, 2698",BELFORD ROXO,RJ
15440,PAULA SANTOS DE AGUIAR & CIA LTDA,"AVENIDA GETULIO VARGAS, 1336",SAO FRANCISCO DE PAULA,RS
15441,DANIELLE C. DOS SANTOS - ME,"AVENIDA SAO JOAO, 685",JANIOPOLIS,PR
15442,ALANDRESON ALMEIDA QUEIROZ - ME,"PRESIDENTE KENNEDY, Nº 12713 LOJA 01",PRAIA GRANDE,SP
15443,EDUARDO KNORST,"PE. WALENTIM WESCHENFELDER, Nº 20",DOIS IRMAOS,RS
15444,POLLYANNA CARDOSO BRAGA,JOSE PAULINO DA COSTA 397,ALFENAS,MG
15445,FARMACIA DROGA NUNES LTDA,"RUA DOUTOR MARCOLINO, 584",PATOS DE MINAS,MG
15446,KEMELE APARECIDA JAZE CAVALCANTE DROGARIA,"RUA 10 DE ABRIL, 46",JUQUIA,SP
15447,M.R.ALVES SILVA FARMACIA - ME,"RUA CENTRAL, S/N",RIO GRANDE DO PIAUI,PI
15448,PHARVIDA - FARMACIA E DROGARIA LTDA - ME,"RUY PINTO BANDEIRA, 555",VITORIA,ES
15449,SANDRA MARIA FLORES MONTIN-ME,"RUA DJALMA DUTRA, 16, C",COROADOS,SP
15450,DROGARIA R E J LTDA - ME,Rua QN 206 CONJUNTO B LOTE 04 LOJA 01,BRASILIA,DF
15451,DROGARIA REAL COMERCIO DE MEDICAMENTOS LTDA - ME,"RUA D 2, ESQUINA COM RUA HIDROLANDIA, S/N",PALMEIRAS DE GOIAS,GO
15452,RAMOS E BARROS COMERCIO DE MEDICAMENTOS LTDA - ME,"AVENIDA SARANHAO, S/N",RUBIATABA,GO
15453,EDILSON DA ROCHA FABRI - DROGARIA - EPP,"RUA DOS CRAVOS, 1523",AMERICANA,SP
15454,DROGARIA E PERFUMARIA MOURA E GOMES LTDA - ME,Rua DR. ARTHUR DAMASIO 23,JEQUERI,MG
15455,SELMA APARECIDA DA SILVA & CIA LTDA - ME,rua RIO GRANDE DO SUL 1402,SIQUEIRA CAMPOS,PR
15456,C. L. B. COMERCIO LTDA - ME,"RUA GREGORIO DE MATOS, Nº 726",SAO LUIS,MA
15457,ALISSON AUGUSTO PEREIRA - ME,Rua FARMACEUTICO JOSE MARTINS 348,PEDRO LEOPOLDO,MG
15458,DROGARIA J & B LTDA.,"AVENIDA JOAO MUNIZ REIS, 1138, SALA O6",FREDERICO WESTPHALEN,RS
15459,FARMACIA E DROGARIA GABIROBA LTDA - ME,RUA CARLOS THIESEN 820,ITUPORANGA,SC
15460,L S MEDICAMENTOS GENERICOS LTDA,"DO SOL, 225",CAMPINA GRANDE,PB
15461,FARMACIA IRMAOS PAVESI LTDA.,"RUA MANOEL RIBAS, 1396",CURITIBA,PR
15462,ANDRE RENATO MORENO - ME,rua RUA DR MARQUES FERREIRA 467,DOURADO,SP
15463,ELOISA ELENA DIEGUES ESTEVES E CIA LTDA - ME,"RUA TIRADENTES, 34",COQUEIRAL,MG
15464,DROGARIA MARTINS DO NASCIMENTO LTDA - ME,"AVENIDA JOSE BENTO MONTEIRO LOBATO, 11",TAUBATE,SP
15465,CRISFARMA-PRODUTOS FARMACEUTICOS LTDA-ME,"AV TAPEJARA, 676",PARAISO DO NORTE,PR
15466,KIANE LARISSA SERAFIM GUIMARAES - ME,"AV. WALTER OLIVEIRA, Nº 890",ITAOBIM,MG
15467,DROGARIA ALTO JEQUITIBA LTDA,"AV CATARINA ELLER, 701",ALTO JEQUITIBA,MG
15468,DROGARIA UNI POPULAR COMERCIO DE MEDICAMENTOS LTDA - ME,"RUA U 82, 566",GOIANIA,GO
15469,LETICIA SILVA DUARTE - ME,"RUA ANGELA MARIA COSTA MORAES, S/N - QD 04 LT 01",APORE,GO
15470,DROGARIA SANTANA & CUBAS LTDA - ME,"AVENIDA COSME JOSE DO NASCIMENTO, 17",PIRES DO RIO,GO
15471,SHIRLEY MATIAS DE ARAUJO - ME,AV DOUTOR JOSE OTAVIO 533,CARPINA,PE
15472,DROGARIA SERV BEM LTDA ME,QI 11 BLOCO B LOJA 11,BRASILIA,DF
15473,ERINILDO FRAGA ALVES - ME,"TRAVESSA ANTONIO FELIPE, S/N - E",QUIXADA,CE
15474,EMPREENDIMENTOS GLOBO LTDA,"AVENIDA PRUDENTE DE MORAIS, 1140 - LOJA 10",NATAL,RN
15475,DROGARIA VIA SAUDE LTDA,RODOVIA BR 101 KM 8 - 1999,PARNAMIRIM,RN
15476,DROGARIA POPULAR PEREIRA & MIOLO LTDA.,"RUA SAO PEDRO, 2530",ITARARE,SP
15477,FARMACIA MARINGA LTDA - ME,"AVENIDA PRUDENTE DE MORAES, 998-A",PIMENTA BUENO,RO
15478,FARMACIA GOTA MAIS LTDA - EPP,"COMERCIAL PADRE PEDRO DE ALENCAR, Nº 399",FORTALEZA,CE
15479,WJ MARINHO MEDICAMENTOS LTDA - ME,"RUA DR. ANTONIO MARCOS GOUVEIA, SN,QUADRA 27 LT 12 LOJA 01",POSSE,GO
15480,FARMACIA E DROGARIA FARMAPOR LTDA,"RUA DESEMBARGADOR FELINTO BASTOS, 657 (BOX 01)",FEIRA DE SANTANA,BA
15481,NFX - DROGARIA E COSMETICOS LTDA - ME,Q. 57 LT02 DONA SARAH KUBITSCHEK LOJA 02,LUZIANIA,GO
15482,V. BARBOSA DROGARIA - ME,rua ANTONIO CARLOS MORI 325,OURINHOS,SP
15483,FARMACIA MIX ECONOMICA LTDA - ME,LINDALVA MARQUES FERREIRA 1290,DOURADOS,MS
15484,DROGARIA COELHO LTDA - ME,QNP 09 CONJUNTO S LOTE 50 LOJA 01 E 02,BRASILIA,DF
15485,VFX FARMACIA LTDA - ME,"R. WALTER KLEIN, Nº 2000",ESTANCIA VELHA,RS
